Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
pr,11200002,0,"Tuesday, July 19, 2011 15:45:17 UTC",18.9559,-65.1900,2.8,28.30, 8,"Puerto Rico region"
nc,71603740,2,"Tuesday, July 19, 2011 15:39:36 UTC",39.0155,-122.5882,1.5,0.00,11,"Northern California"
ci,15020556,2,"Tuesday, July 19, 2011 15:35:04 UTC",34.6382,-117.3025,1.0,0.00, 8,"Southern California"
nc,71603725,2,"Tuesday, July 19, 2011 15:14:28 UTC",36.9070,-121.4250,1.5,4.70,51,"Central California"
nc,71603720,4,"Tuesday, July 19, 2011 15:11:18 UTC",40.3010,-124.4417,2.2,21.10,20,"offshore Northern California"
hv,60248611,1,"Tuesday, July 19, 2011 15:09:42 UTC",19.3103,-155.7838,2.6,12.10,43,"Island of Hawaii, Hawaii"
nc,71603715,0,"Tuesday, July 19, 2011 15:05:03 UTC",38.8375,-122.8077,1.2,1.70,10,"Northern California"
ci,15020516,2,"Tuesday, July 19, 2011 14:55:59 UTC",32.9165,-116.2348,1.1,6.60,25,"Southern California"
ci,15020508,2,"Tuesday, July 19, 2011 14:48:58 UTC",34.9815,-116.9637,1.1,3.90,10,"Southern California"
pr,11200006,0,"Tuesday, July 19, 2011 14:24:04 UTC",19.1900,-64.6380,2.8,46.70, 5,"Virgin Islands region"
pr,11200004,0,"Tuesday, July 19, 2011 14:23:37 UTC",18.1359,-66.4929,1.4,8.40, 3,"Puerto Rico"
pr,11200003,0,"Tuesday, July 19, 2011 14:22:56 UTC",19.1420,-64.7070,2.6,9.60, 3,"Virgin Islands region"
ci,15020476,2,"Tuesday, July 19, 2011 14:14:35 UTC",32.9172,-116.2387,1.7,6.50,57,"Southern California"
ci,15020468,2,"Tuesday, July 19, 2011 14:14:04 UTC",32.9160,-116.2422,1.1,6.50,23,"Southern California"
us,2011nnbi,7,"Tuesday, July 19, 2011 14:01:09 UTC",23.9739,121.6055,4.7,16.50,46,"Taiwan"
nc,71603695,2,"Tuesday, July 19, 2011 13:59:01 UTC",37.5563,-118.8477,1.2,0.80,14,"Central California"
